,Scientific Name,Common Name,Duration,Habit,Sun,Water
21,Acer saccharum,"Sugar Maple, Northern Sugar Maple",Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry"
22,Acer spicatum,Mountain Maple,Perennial,Tree,"Sun, Shade",Moist
23,Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Perennial,Herb,"Sun, Part-shade",Dry
24,Achnatherum hymenoides,"Indian Ricegrass, Indian Millet, Sandgrass",Perennial,Grass/Grass-like,Sun,Dry
25,Achnatherum richardsonii,Richardson's Needlegrass,Perennial,Grass/Grass-like,Sun,Moist
26,Achyrachaena mollis,Blow Wives,Annual,Herb,,
27,Acmella oppositifolia var. repens,"Oppositeleaf Spotflower, Opposite-leaf Spotflower",Perennial,Herb,Sun,
28,Acoelorraphe wrightii,Everglades Palm,Perennial,Tree,Sun,
29,Aconitum columbianum,Columbian Monkshood,Perennial,Herb,Shade,Moist
30,Aconitum delphiniifolium,"Larkspurleaf Monkshood, Larkspur-leaf Monkshood, Northern Monkshood",Perennial,Herb,Part-shade,
31,Aconitum uncinatum,"Southern Blue Monkshood, Monkshood",Perennial,Herb,Part-shade,Moist
32,Acorus americanus,Sweetflag,Perennial,Herb,Sun,
33,Actaea pachypoda,"White Baneberry, Dolls Eyes",Perennial,Herb,"Shade, Part-shade","Wet, Moist"
34,Actaea podocarpa,Mountain Bugbane,Perennial,Herb,"Shade, Part-shade",
35,Actaea rubra,Red Baneberry,Perennial,Herb,"Sun, Shade, Part-shade",Moist
36,Adiantum capillus-veneris,"Southern Maidenhair Fern, Common Maidenhair Fern, Maidenhair Fern, Venus Hair Fern",Perennial,Fern,"Shade, Part-shade","Wet, Moist"
37,Adiantum pedatum,"Northern Maidenhair Fern, Maidenhair Fern",Perennial,Fern,"Shade, Part-shade",Moist
38,Aesculus flava,"Yellow Buckeye, Sweet Buckeye",Perennial,Tree,Shade,Moist
39,Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Perennial,Tree,"Sun, Shade, Part-shade",Moist
40,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Perennial,"Shrub, Tree",Part-shade,Moist
41,Aesculus sylvatica,Painted Buckeye,Perennial,"Shrub, Tree",,
42,Agalinis fasciculata,Beach False Foxglove,Annual,Herb,,
43,Agalinis heterophylla,"Prairie Agalinis, Prairie False-foxglove",Annual,Herb,Part-shade,"Moist, Dry"
44,Agalinis linifolia,Flaxleaf False Foxglove,Perennial,Herb,,
45,Agalinis maritima,Saltmarsh False Foxglove,Annual,Herb,,
46,Agalinis oligophylla,Ridgestem False Foxglove,Annual,Herb,,
47,Agalinis paupercula,Smallflower False Foxglove,Annual,Herb,,
48,Agalinis purpurea,"Purple False Foxglove, Purple Gerardia, Gerardia",Annual,Herb,"Sun, Shade, Part-shade","Wet, Moist"
49,Agalinis skinneriana,Skinner's False Foxglove,Annual,Herb,Sun,Dry
50,Agalinis tenuifolia,Slenderleaf False Foxglove,Annual,Herb,"Sun, Part-shade",
51,Agarista populifolia,"Florida Hobblebush, Tall Fetterbush, Florida Leucothoe, Agarista",Perennial,Shrub,Shade,
52,Agastache nepetoides,Yellow Giant Hyssop,Perennial,Subshrub,"Sun, Part-shade",
53,Agastache urticifolia,"Nettleleaf Giant Hyssop, Nettle-leaf Horsemint",Perennial,Subshrub,Part-shade,
54,Agave americana,"American Century Plant, Century Plant",Perennial,Cactus/Succulent,Sun,Dry
55,Ageratina altissima,White Snakeroot,Perennial,Herb,"Sun, Part-shade","Moist, Dry"
56,Ageratina jucunda,Hammock Snakeroot,Perennial,Herb,"Sun, Part-shade",Moist
57,Agoseris aurantiaca,Orange Agoseris,Perennial,"Herb, Subshrub",Sun,Moist
58,Agoseris glauca,"Pale Agoseris, Pale Mountain Dandelion, False Dandelion",Perennial,Herb,Sun,
59,Agrimonia gryposepala,"Tall Hairy Agrimony, Agrimony",Perennial,Herb,"Shade, Part-shade",Moist
60,Agrimonia parviflora,"Harvest Lice, Small-flowered Agrimony, Southern Agrimony, Swamp Agrimony",Perennial,Herb,,
61,Agrimonia striata,Roadside Agrimony,Perennial,Herb,Part-shade,
62,Agrostis exarata,"Spike Bentgrass, Spiked Bent, Spike Red Top",Perennial,Grass/Grass-like,Part-shade,Moist
63,Agrostis hyemalis,Winter Bentgrass,Perennial,Grass/Grass-like,Part-shade,
64,Agrostis mertensii,Northern Bentgrass,Perennial,Grass/Grass-like,,
65,Agrostis perennans,"Upland Bentgrass, Autumn Bentgrass",Perennial,Grass/Grass-like,Part-shade,Wet
66,Agrostis scabra,"Rough Bentgrass, Rough Bent, Ticklegrass, Fly-away Grass",Perennial,Grass/Grass-like,Sun,Dry
67,Aletris aurea,"Golden Colicroot, Colicroot, Star Grass, Yellow Colic Root",Perennial,Herb,,
68,Aletris farinosa,"White Colicroot, Colic Root, Unicorn Root",Perennial,Herb,Sun,"Moist, Dry"
69,Aletris lutea,"Yellow Colicroot, Yellow Colic-root",Perennial,Herb,,
70,Aletris obovata,"Southern Colicroot, Blunt-leaved Colic Root",Perennial,Herb,,
71,Alisma subcordatum,American Water Plantain,Perennial,Herb,Sun,"Wet, Moist"
72,Alisma triviale,Northern Water Plantain,Perennial,Herb,,Wet
73,Allenrolfea occidentalis,"Iodinebush, Pickleweed",Perennial,Subshrub,,
74,Allium canadense,"Meadow Garlic, Wild Garlic, Wild Onion",Perennial,Grass/Grass-like,Sun,Moist
75,Allium cernuum,Nodding Onion,Perennial,Herb,Sun,Moist
76,Allium douglasii,Douglas' Onion,Perennial,Herb,Sun,
77,Allium hyalinum,"Glassy Onion, Onion Lily",Perennial,Herb,,
78,Allium tricoccum,"Wild Leek, Ramp",Perennial,Herb,Shade,Moist
79,Allium validum,"Pacific Onion, Tall Swamp Onion, Swamp Onion",Perennial,Herb,Sun,Moist
80,Alnus incana,"Gray Alder, Mountain Alder, Speckled Alder, River Alder, Thin-leafed Alder",Perennial,"Shrub, Tree","Sun, Shade, Part-shade","Wet, Moist"
81,Alnus maritima,Seaside Alder,Perennial,"Shrub, Tree",Part-shade,
82,Alnus oblongifolia,Arizona Alder,Perennial,Tree,,
83,Alnus rhombifolia,White Alder,Perennial,Tree,Part-shade,Wet
84,Alnus rubra,"Red Alder, Western Alder",Perennial,Tree,"Sun, Shade, Part-shade",Moist
85,Alnus serrulata,"Smooth Alder, Hazel Alder, Brookside Alder, Tag Alder, Common Alder, Black Alder",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist"
86,Alnus viridis,Green Alder,Perennial,Tree,"Shade, Part-shade",Wet
87,Alopecurus aequalis,Shortawn Foxtail,Perennial,Grass/Grass-like,Part-shade,
88,Alophia drummondii,"Propeller Flower, Purple Pleat-leaf, Pinewoods Lily, Prairie Iris, Pleatleaf Iris",Perennial,Herb,Part-shade,Dry
89,Alternanthera maritima,Seaside Joyweed,Perennial,Herb,,
90,Amaranthus greggii,Gregg's Amaranth,Annual,Herb,,
91,Amaranthus palmeri,Carelessweed,Annual,Herb,,
92,Amaranthus pumilus,Seaside Amaranth,Annual,Herb,,
93,Amaranthus retroflexus,Redroot Amaranth,Annual,Herb,,
94,Amaranthus spinosus,"Spiny Amaranth, Thorny Pigweed",Annual,Herb,,
95,Amaranthus tuberculatus,"Roughfruit Amaranth, Water Hemp",Annual,Herb,,Moist
96,Amaranthus viridis,Slender Amaranth,Annual,Herb,,
97,Ambrosia artemisiifolia,"Annual Ragweed, Short Ragweed",Annual,Herb,"Sun, Shade, Part-shade",Dry
98,Ambrosia psilostachya,"Cuman Ragweed, Western Ragweed, Perennial Ragweed, Common Ragweed",Perennial,Herb,"Sun, Part-shade",Dry
99,Ambrosia trifida,"Great Ragweed, Giant Ragweed",Annual,Subshrub,"Shade, Part-shade",Moist
100,Amelanchier alnifolia,"Saskatoon Serviceberry, Western Serviceberry, Juneberry",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry"
101,Amelanchier arborea,"Common Serviceberry, Downy Serviceberry, Shadbush, Juneberry, Junebush, Shadblow, Sarvis",Perennial,Tree,"Sun, Shade, Part-shade",Dry
102,Amelanchier bartramiana,Oblongfruit Serviceberry,Perennial,Tree,"Sun, Shade, Part-shade","Moist, Dry"
103,Amelanchier canadensis,"Canadian Serviceberry, Canadian Service-berry, Shadblow Serviceberry, Juneberry, Shadbush, Junebush",Perennial,Tree,"Sun, Shade, Part-shade","Wet, Moist"
104,Amelanchier interior,"Inland Serviceberry, Inland Juneberry, Inland Sarvisberry, Inland Amelanchier, Inland Shadbush, Wiegand's Serviceberry, Wiegand's Juneberry, Wiegand's Sarviceberry, Wiegand's Amelanchier, Wiegand's Shadbush",Perennial,Tree,"Sun, Shade, Part-shade",Moist
105,Amelanchier stolonifera,Running Serviceberry,Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry"
106,Amelanchier utahensis,Utah Serviceberry,Perennial,Tree,Part-shade,Dry
107,Amianthium muscitoxicum,"Fly Poison, Crow Poison",Perennial,Herb,Part-shade,Moist
108,Ammannia coccinea,"Valley Redstem, Scarlet Tooth-cup",Annual,Herb,Sun,
109,Ammannia robusta,Grand Redstem,Annual,Herb,,Wet
110,Ammophila breviligulata,"American Beachgrass, American Beach Grass",Perennial,Grass/Grass-like,Sun,Dry
111,Amorpha fruticosa,"Indigo Bush, False Indigo Bush, False Indigo, Desert False Indigo",Perennial,Shrub,"Sun, Part-shade",Moist
112,Amorpha herbacea,"Clusterspike False Indigo, Cluster-spike Indigobush",Perennial,Shrub,,
113,Amorpha nana,"Dwarf False Indigo, Fragrant Indigo-bush, Fragrant False Indigo, Dwarf Wild Indigo",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry"
114,Amorpha roemeriana,Roemer's False Indigo,Perennial,Shrub,Part-shade,"Moist, Dry"
115,Ampelaster carolinianus,"Climbing Aster, Climbing-aster",Perennial,Vine,Sun,Wet
116,Ampelopsis cordata,"Heartleaf Peppervine, Heart-leaf Ampelopsis",Perennial,Vine,Part-shade,Dry
117,Amphicarpaea bracteata,American Hogpeanut,Annual,Vine,,
118,Amphicarpum muehlenbergianum,"Muhlenberg Maidencane, Florida Peanut-grass, Blue Maidencane",Perennial,Grass/Grass-like,"Sun, Part-shade",
119,Amsonia ludoviciana,"Louisiana Bluestar, Sandhill Bluestar",Perennial,Herb,,
120,Amsonia rigida,"Stiff Bluestar, Marsh Bluestar",Perennial,Herb,"Sun, Part-shade",Moist
121,Amsonia tabernaemontana,"Eastern Bluestar, Blue Dogbane, Willow Amsonia, Woodland Bluestar",Perennial,Herb,Part-shade,Wet
122,Anagallis minima,Chaffweed,Annual,Herb,,
123,Anaphalis margaritacea,"Western Pearly Everlasting, Pearly-everlasting",Perennial,Herb,"Sun, Part-shade",Dry
124,Andromeda polifolia,"Bog Rosemary, Bog-rosemary",Perennial,Shrub,"Sun, Shade, Part-shade","Wet, Moist"
125,Andropogon brachystachyus,Shortspike Bluestem,Perennial,Grass/Grass-like,Sun,Moist
126,Andropogon capillipes,"Chalky Bluestem, Wetland White Bluestem",Perennial,Grass/Grass-like,"Sun, Part-shade",
127,Andropogon gerardii,"Big Bluestem, Tall Bluestem, Turkeyfoot",Perennial,Grass/Grass-like,"Sun, Part-shade",Moist
128,Andropogon glaucopsis,"Purple Bluestem, Chalky Bluestem",Perennial,Grass/Grass-like,,
129,Andropogon glomeratus,"Bushy Bluestem, Brushy Bluestem",Perennial,Grass/Grass-like,Sun,"Wet, Moist"
130,Andropogon gyrans,Elliott's Bluestem,Perennial,Grass/Grass-like,,
131,Andropogon ternarius,"Splitbeard Bluestem, Split Bluestem",Perennial,Grass/Grass-like,"Sun, Part-shade",Dry
132,Andropogon virginicus,"Broomsedge, Broomsedge Bluestem, Yellowsedge Bluestem, Whiskey Grass, Popotillo Pajon",Perennial,Grass/Grass-like,Part-shade,Moist
133,Androsace septentrionalis,"Pygmyflower Rockjasmine, Northern Fairy Candelabra",Annual,Herb,,
134,Anemone canadensis,"Canadian Anemone, Round-leaf Thimbleweed, Canada Anemone, Windflower, Meadow Anemone",Perennial,Herb,"Shade, Part-shade",Moist
135,Anemone narcissiflora,"Narcissus Anemone, Narcissus-flower Thimbleweed, Narcissis-flowered Anemone",Perennial,Herb,Part-shade,
136,Anemone oregana,"Blue Windflower, Oregon Anemone",Perennial,Herb,,
137,Anemone parviflora,Smallflowered Anemone,Perennial,Herb,,
138,Anemone quinquefolia,"Wood Anemone, Nightcaps, Windflower",Perennial,Herb,"Shade, Part-shade",Moist
139,Anemone richardsonii,Yellow Thimbleweed,Perennial,Herb,,
140,Anemone virginiana,"Tall Thimbleweed, Thimbleweed, Tall Anemone",Perennial,Herb,"Sun, Part-shade","Moist, Dry"
141,Anemopsis californica,"Yerba Mansa, Yerba-mansa, Lizard Tail",Perennial,Herb,Sun,Wet
142,Angelica ampla,Giant Angelica,Perennial,Herb,"Sun, Part-shade",Moist
143,Angelica arguta,Lyall's Angelica,Perennial,Herb,,
144,Angelica atropurpurea,Purplestem Angelica,Perennial,Herb,"Sun, Part-shade","Wet, Moist"
145,Angelica genuflexa,Kneeling Angelica,Perennial,Herb,"Shade, Part-shade","Wet, Moist"
146,Angelica lucida,Seacoast Angelica,Perennial,Herb,,
147,Annona glabra,Pond Apple,Perennial,Tree,,
148,Anoda cristata,Crested Anoda,Annual,Herb,,
149,Antennaria alpina,"Alpine Pussytoes, Alpine Everlasting",Perennial,Herb,Sun,Moist
150,Antennaria neglecta,"Field Pussytoes, Prairie Everlasting",Perennial,Herb,Sun,Dry
151,Apios americana,"Groundnut, Wild Potato, Indian Potato",Perennial,Vine,Shade,"Wet, Moist"
152,Aplectrum hyemale,Adam And Eve,Perennial,Herb,"Shade, Part-shade",Moist
153,Apocynum androsaemifolium,"Spreading Dogbane, Bitterroot, Flytrap Dogbane",Perennial,Herb,"Sun, Shade, Part-shade",Dry
154,Apocynum cannabinum,"Indian Hemp, Prairie Dogbane, Hemp Dogbane, Dogbane",Perennial,Herb,Part-shade,Moist
155,Aquilegia canadensis,"Eastern Red Columbine, Wild Red Columbine",Perennial,Herb,"Shade, Part-shade","Moist, Dry"
156,Aquilegia chrysantha,"Golden Columbine, Yellow Columbine, Southwestern Yellow Columbine",Perennial,Herb,"Shade, Part-shade",Moist
157,Aquilegia coerulea,"Colorado Blue Columbine, Rocky Mountain Columbine",Perennial,Herb,Shade,Moist
158,Aquilegia eximia,"Van Houtte's Columbine, Serpentine Columbine",Perennial,Herb,Part-shade,Moist
159,Aquilegia formosa,"Western Columbine, Crimson Columbine, Scarlet Columbine, Red Columbine",Perennial,Herb,"Sun, Part-shade","Moist, Dry"
160,Aquilegia longissima,"Longspur Columbine, Longspur Yellow Columbine",Perennial,Herb,"Shade, Part-shade",Moist
161,Arabis alpina,Alpine Rockcress,Perennial,Herb,,
162,Arabis drummondii,Drummond's Rockcress,Biennial,Herb,Part-shade,
163,Arabis hirsuta var. pycnocarpa,Creamflower Rockcress,Annual,Herb,,
164,Arabis lyrata,"Lyrate Rockcress, Lyre-leaf Rockcress",Biennial,Herb,,
165,Arabis ×divaricarpa,Spreadingpod Rockcress,"Biennial, Perennial",Herb,,
166,Aralia californica,California Spikenard,Perennial,Herb,Part-shade,
167,Aralia nudicaulis,Wild Sarsaparilla,Perennial,Subshrub,"Sun, Shade",Moist
168,Aralia racemosa,American Spikenard,Perennial,Herb,Sun,Moist
169,Aralia spinosa,"Devil's Walking Stick, Hercules Club, Angelica Tree, Pigeon Tree, Shotbush, Prickly Elder, Prickly Ash",Perennial,Tree,Part-shade,Moist
170,Arctagrostis latifolia,"Wideleaf Polargrass, Broad-leaf Arctic-bent, Polar Grass",Perennial,Grass/Grass-like,Sun,Wet
171,Arctostaphylos rubra,"Red Fruit Bearberry, Alpine Bearberry, Arctic Bearberry, Red Manzanita, Ravenberry",Perennial,Shrub,,
172,Arctostaphylos uva-ursi,"Kinnikinnick, Red Bearberry, Kinnikinnik",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry"
173,Arenaria lanuginosa,Spreading Sandwort,Perennial,Herb,,
174,Arethusa bulbosa,"Dragon's Mouth, Swamp Pink",Perennial,Herb,,Wet
175,Argentina anserina,"Silverweed Cinquefoil, Common Silverweed, Silverweed, Goosefoot",Perennial,Herb,Shade,Moist
176,Arisaema dracontium,"Green Dragon, Dragonroot, Greendragon",Perennial,Herb,"Sun, Shade",Moist
177,Arisaema triphyllum,"Jack In The Pulpit, Indian Jack In The Pulpit, Jack-in-the-pulpit",Perennial,Herb,"Sun, Shade","Wet, Moist"
178,Aristida beyrichiana,"Beyrich Threeawn, Wiregrass",Perennial,Grass/Grass-like,"Sun, Part-shade",
179,Aristida longespica,"Slimspike Threeawn, Kearney's Three-awn, Red Three-awn, Slender Three-awn",Annual,Grass/Grass-like,,
180,Aristida stricta,"Pineland Threeawn, Wiregrass",Perennial,Grass/Grass-like,"Sun, Part-shade","Moist, Dry"
181,Aristolochia serpentaria,"Virginia Snakeroot, Virginia Dutchmanspipe",Perennial,Herb,Shade,Dry
182,Aristolochia tomentosa,"Pipevine, Woolly Dutchman's Pipe, Common Dutchman's Pipe",Perennial,Vine,Part-shade,Moist
183,Armeria maritima,Thrift Seapink,Perennial,Herb,Sun,"Moist, Dry"
184,Arnica acaulis,Common Leopardbane,Perennial,Herb,Shade,Moist
185,Arnica chamissonis,Chamisso Arnica,Perennial,Herb,Sun,Moist
186,Arnica fulgens,Foothill Arnica,Perennial,Herb,Part-shade,
187,Arnica lanceolata,Lanceleaf Arnica,Perennial,Herb,,
188,Arnica latifolia,"Broadleaf Arnica, Mountain Arnica, Daffodil Leopardbane",Perennial,Herb,"Sun, Part-shade",Wet
189,Arnica longifolia,Spearleaf Arnica,Perennial,Herb,Sun,Moist
190,Arnica mollis,Hairy Arnica,Perennial,Herb,,
191,Arnoglossum ovatum,Ovateleaf Cacalia,Perennial,Herb,,
192,Arnoglossum plantagineum,"Groovestem Indian Plantain, Indian Plantain, Prairie Plantain, Prairie Indian Plantain",Perennial,Herb,Sun,Moist
193,Aronia arbutifolia,"Red Chokeberry, Red Chokecherry",Perennial,Shrub,Sun,Moist
194,Aronia melanocarpa,Black Chokeberry,Perennial,Shrub,Part-shade,Moist
195,Artemisia cana,"Silver Sagebrush, Coaltown Sagebrush, Dwarf Sagebrush, Hoary Sagebrush, Silvery Sagebrush",Perennial,Shrub,Sun,Dry
196,Artemisia douglasiana,"Douglas' Sagewort, Douglas Mugwort",Perennial,Herb,Sun,Moist
197,Artemisia ludoviciana,"Louisiana Artemisia, Louisiana Sage, White Sage, Prairie Sage, Silver Sage, White Sagebrush, Louisiana Wormwood, Silver Wormwood, Louisiana Sagewort, Gray Sagewort, Cudweed Sagewort, Mugwort Wormwood",Perennial,Subshrub,Sun,Dry
198,Artemisia stelleriana,"Oldwoman, Dusty Miller",Perennial,Herb,,
199,Aruncus dioicus,"Bride's Feathers, Goat's Beard",Perennial,Herb,"Sun, Shade, Part-shade","Wet, Moist"
200,Arundinaria gigantea,"Giant Cane, River Cane, Switch Cane, American Bamboo",Perennial,Grass/Grass-like,Part-shade,Wet
201,Asarum canadense,"Canadian Wild Ginger, Wild Ginger",Perennial,Herb,"Shade, Part-shade",Moist
202,Asarum caudatum,"British Columbia Wild Ginger, Long-tail Wild Ginger",Perennial,Herb,Shade,Moist
203,Asclepias exaltata,Poke Milkweed,Perennial,Herb,"Sun, Part-shade",
204,Asclepias fascicularis,"Mexican Whorled Milkweed, Narrowleaf Milkweed",Perennial,Herb,Sun,"Moist, Dry"
205,Asclepias incarnata,"Swamp Milkweed, Pink Milkweed",Perennial,Herb,"Sun, Part-shade","Wet, Moist"
206,Asclepias lanceolata,"Fewflower Milkweed, Few-flower Milkweed, Red Milkweed",Perennial,Herb,Sun,Wet
207,Asclepias longifolia,Longleaf Milkweed,Perennial,Herb,,
208,Asclepias michauxii,Michaux's Milkweed,Perennial,Herb,Part-shade,Dry
209,Asclepias oenotheroides,"Zizotes Milkweed, Hierba De Zizotes, Side-cluster Milkweed, Longhorn Milkweed, Primrose Milkweed, Lindheimer's Milkweed",Perennial,Herb,Sun,Dry
210,Asclepias perennis,"White Swamp Milkweed, Aquatic Milkweed",Perennial,Herb,"Sun, Part-shade","Wet, Moist"
211,Asclepias purpurascens,Purple Milkweed,Perennial,Herb,Sun,Dry
212,Asclepias rubra,"Red Milkweed, Tall Pink Bog Milkweed",Perennial,Herb,"Sun, Part-shade","Wet, Moist"
213,Asclepias speciosa,Showy Milkweed,Perennial,Herb,Sun,Moist
214,Asclepias subverticillata,"Horsetail Milkweed, Poison Milkweed",Perennial,Herb,,
215,Asclepias syriaca,Common Milkweed,Perennial,Herb,Sun,Moist
216,Asclepias texana,"Texas Milkweed, White Milkweed",Perennial,Herb,Sun,Dry
217,Asclepias variegata,"Redring Milkweed, White-flowered Milkweed",Perennial,Herb,"Sun, Part-shade",Dry
218,Asclepias verticillata,"Whorled Milkweed, Eastern Whorled Milkweed",Perennial,Herb,"Sun, Part-shade",Dry
219,Asimina parviflora,"Smallflower Pawpaw, Small-flower Pawpaw, Dwarf Pawpaw",Perennial,Shrub,Part-shade,
220,Asimina pygmea,"Dwarf Pawpaw, Gopher-berry",Perennial,"Subshrub, Shrub",,
221,Asimina reticulata,"Netted Pawpaw, Woolly Pawpaw, Hairy Pawpaw",Perennial,Shrub,,
222,Asimina triloba,"Pawpaw, Common Pawpaw, Custard Apple, Indian Banana, Wild Banana",Perennial,Tree,"Sun, Shade, Part-shade",Moist
223,Asplenium platyneuron,Ebony Spleenwort,Perennial,Fern,"Shade, Part-shade",Moist
224,Asplenium trichomanes,Maidenhair Spleenwort,Perennial,"Herb, Fern","Sun, Shade",Moist
225,Astilbe biternata,"Appalachian False Goat's Beard, False Goatsbeard",Perennial,Herb,Part-shade,Moist
226,Astragalus agrestis,"Purple Milkvetch, Field Milk-vetch",Perennial,Herb,Sun,
227,Astragalus alpinus,Alpine Milkvetch,Perennial,Herb,Sun,Moist
228,Astragalus americanus,"American Milkvetch, American Milk-vetch, Rattlepod",Perennial,Herb,Part-shade,Moist
229,Astragalus canadensis,"Canadian Milkvetch, Canada Milkvetch, Milk Vetch",Perennial,Herb,"Sun, Part-shade","Wet, Dry"
230,Astragalus eucosmus,Elegant Milkvetch,Perennial,Herb,,
231,Astragalus lentiginosus,Freckled Milkvetch,Annual,Herb,,
232,Astragalus robbinsii,Robbins' Milkvetch,Perennial,Herb,,
233,Athyrium filix-femina ssp. angustum,"Subarctic Ladyfern, Northern Lady Fern",Perennial,"Herb, Fern",,
234,Athyrium filix-femina ssp. asplenioides,Southern Lady Fern,Perennial,Fern,Part-shade,"Wet, Moist"
235,Atriplex glabriuscula,"Scotland Orache, Babington's Orache, Northeastern Saltbush, Glabrous Orach",Annual,Herb,,
236,Atriplex lentiformis,"Big Saltbush, Quailbush, Saltbush, Coastal Quail Bush",Perennial,Subshrub,Sun,Moist
237,Atriplex prostrata,Triangle Orache,Annual,Herb,,
238,Avicennia germinans,Black Mangrove,Perennial,Shrub,Sun,Moist
239,Azolla caroliniana,Carolina Mosquitofern,Annual,Fern,,
240,Baccharis halimifolia,"Groundseltree, Sea-myrtle, Consumptionweed, Eastern Baccharis, Groundsel, Groundsel Bush, Salt Marsh-elder, Salt Bush, Florida Groundsel Bush",Perennial,Shrub,Part-shade,Wet
241,Baccharis neglecta,"False Willow, Jara Dulce, Poverty Weed, Roosevelt Weed",Perennial,Shrub,Part-shade,Dry
242,Baccharis salicifolia,"Mule's Fat, Seep Willow",Perennial,Shrub,"Sun, Part-shade",Moist
243,Baccharis salicina,"Willow Baccharis, Great Plains False Willow",Perennial,Shrub,Sun,
244,Baccharis sarothroides,"Desert Broom, Desertbroom",Perennial,Shrub,Sun,
245,Bacopa monnieri,"Herb-of-grace, Water Hyssop, Coastal Water-hyssop",Perennial,Herb,"Sun, Part-shade","Wet, Moist"
246,Bacopa rotundifolia,"Disk Waterhyssop, Disc Water-hyssop",Perennial,Herb,Sun,
247,Balduina uniflora,Oneflower Honeycombhead,Perennial,Herb,,
248,Baptisia alba,"White Wild Indigo, White Baptisia",Perennial,Herb,Sun,"Moist, Dry"
249,Baptisia australis,"Blue Wild Indigo, Wild Blue Indigo, Blue False Indigo",Perennial,Herb,Sun,Moist
250,Baptisia megacarpa,Apalachicola Wild Indigo,Perennial,Herb,Sun,"Moist, Dry"
251,Barbarea orthoceras,American Yellowrocket,Biennial,Herb,,
252,Barkleyanthus salicifolius,Willow Ragwort,Perennial,Subshrub,,
253,Bartonia paniculata,Twining Screwstem,Annual,Vine,,
254,Bartonia virginica,Yellow Screwstem,Annual,Herb,,
255,Batis maritima,"Turtleweed, Seaside Saltwort",Perennial,Shrub,Sun,Moist
256,Beckmannia syzigachne,American Sloughgrass,Annual,Grass/Grass-like,,
257,Bejaria racemosa,"Tarflower, Flyweed, Flycatcher",Perennial,Shrub,,
258,Berchemia scandens,"Alabama Supplejack, Alabama Supple-jack, Rattan-vine",Perennial,Vine,"Shade, Part-shade",Moist
259,Besseya alpina,Alpine Besseya,Perennial,Herb,,
260,Betula alleghaniensis,Yellow Birch,Perennial,Tree,"Shade, Part-shade","Wet, Moist"
261,Betula lenta,"Sweet Birch, Cherry Birch, Black Birch, Mahogany Birch",Perennial,Tree,"Shade, Part-shade","Moist, Dry"
262,Betula nana,"Dwarf Birch, Swamp Birch",Perennial,"Subshrub, Shrub","Sun, Part-shade","Wet, Moist"
